seq_len,wall_time,cpu_time,rnadist string,rnadist tree,rnapdist,f1score,mcc,auc
16,11.139,12.373,4,2,2.09,0.875,0.828,
116,13.055,15.864,4,2,5.58,0.983,0.974,
36,12.338,14.391,2,2,3.534,0.944,0.914,
192,24.878,29.554,4,2,6.163,0.99,0.984,
379,19.143,22.954,8,4,7.614,0.989,0.984,
284,25.904,30.911,8,4,85.833,0.986,0.978,
12,12.629,15.125,0,0,1.765,1.0,1.0,
258,611.628,625.231,144,94,110.876,0.554,0.331,
45,13.819,16.932,0,0,9.933,1.0,1.0,
36,12.506,14.932,0,0,1.267,1.0,1.0,
213,13.429,16.501,8,4,71.667,0.981,0.972,
67,12.697,15.212,0,0,0.17,1.0,1.0,
98,25.053,29.799,8,4,4.869,0.959,0.908,
30,21.665,25.875,0,0,0.995,1.0,1.0,
105,15.522,19.108,4,2,10.05,0.981,0.957,
105,15.318,18.81,8,4,4.935,0.962,0.91,
67,12.959,15.735,4,2,29.695,0.97,0.954,
104,14.919,18.297,0,0,6.494,1.0,1.0,
42,12.842,15.484,8,4,1.549,0.905,0.855,
105,31.132,38.809,0,0,0.892,1.0,1.0,
400,22.509,27.735,0,0,0.029,1.0,,
17,20.464,25.21,0,0,3.498,1.0,1.0,
104,37.604,47.081,6,4,4.51,0.962,0.937,
62,21.694,26.774,6,4,18.952,0.935,0.898,
26,19.074,23.31,0,0,6.437,1.0,1.0,
57,18.993,23.066,0,0,39.626,1.0,1.0,
378,43.012,54.435,6,4,13.725,0.989,0.984,
105,39.655,49.653,4,2,4.324,0.981,0.97,
31,19.131,23.497,0,0,8.625,1.0,1.0,
102,18.819,22.68,4,4,12.412,0.961,0.94,
122,19.508,24.056,4,2,2.683,0.984,0.971,
45,70.043,94.124,8,4,6.598,0.911,0.866,
96,24.867,30.799,2,2,16.394,0.979,0.965,
123,618.425,659.711,88,54,38.635,0.618,0.414,
151,23.461,28.955,6,4,47.062,0.974,0.956,
103,78.48,105.744,10,4,11.764,0.961,0.937,
316,76.846,103.416,8,4,58.071,0.987,0.979,
174,20.292,25.004,6,4,38.317,0.977,0.965,
38,19.022,23.387,6,3,3.701,0.921,0.881,
35,61.544,79.955,8,4,6.092,0.886,0.815,
116,98.671,127.534,4,2,7.602,0.983,0.974,
85,17.269,21.459,2,2,2.515,0.976,0.96,
63,15.417,18.734,2,2,17.458,0.968,0.944,
63,14.043,16.265,0,0,0.182,1.0,1.0,
97,24.24,30.559,0,0,5.061,1.0,1.0,
50,17.284,21.492,4,2,19.743,0.96,0.936,
102,28.939,36.958,4,2,3.708,0.98,0.97,
101,26.4,33.503,0,0,2.729,1.0,1.0,
105,614.376,774.042,62,30,14.898,0.79,0.628,
337,81.049,105.451,2,2,37.205,0.994,0.991,
80,613.28,772.762,8,4,4.34,0.95,0.874,
400,16.508,20.485,4,2,9.972,0.995,0.984,
92,15.678,19.254,0,0,2.123,1.0,1.0,
102,18.803,23.627,0,0,6.819,1.0,1.0,
387,17.713,22.083,8,4,147.48,0.99,0.984,
36,613.614,773.209,28,14,11.239,0.611,,
111,17.104,21.26,4,2,17.454,0.982,0.973,
68,615.075,774.742,8,4,27.223,0.941,0.911,
105,613.89,773.503,16,8,5.902,0.924,0.877,
67,616.267,771.93,58,24,20.656,0.687,0.477,
53,613.657,769.136,10,6,11.436,0.887,0.824,
400,616.118,771.774,104,52,198.722,0.93,0.894,
110,615.997,771.649,40,20,8.049,0.818,,
40,615.319,770.914,4,2,4.227,0.95,0.917,
36,614.179,769.698,16,8,4.182,0.778,0.662,
61,615.397,771.002,4,2,3.516,0.967,0.882,
282,621.636,777.409,82,49,98.507,0.833,0.75,
200,620.953,776.715,46,26,71.465,0.9,0.824,
184,316.463,393.241,6,4,116.904,0.978,0.967,
88,617.816,773.526,20,8,15.953,0.909,0.784,
73,616.37,772.04,4,2,2.11,0.973,0.959,
370,621.579,777.349,162,87,151.53,0.819,0.73,
380,620.927,776.687,62,24,241.885,0.937,0.898,
75,19.676,24.37,4,2,21.416,0.973,0.945,
393,616.592,772.265,278,152,159.308,0.718,0.572,
284,616.58,772.251,198,114,144.805,0.676,0.473,
101,614.535,770.078,20,10,17.807,0.901,0.829,
397,621.488,777.25,8,4,207.341,0.99,0.984,
212,612.892,865.289,154,82,79.149,0.684,0.533,
214,612.661,864.974,96,50,74.225,0.879,0.817,
119,612.724,865.047,96,49,49.514,0.731,0.576,
104,13.368,16.133,4,2,5.517,0.981,0.97,
389,613.764,866.49,150,92,81.64,0.848,0.76,
355,612.458,864.683,268,149,91.321,0.704,0.546,
97,613.548,866.211,20,10,6.27,0.897,0.799,
34,612.527,864.779,6,4,2.812,0.882,0.816,
97,613.401,866.004,12,6,28.353,0.938,0.88,
400,613.626,866.305,116,68,75.376,0.84,0.764,
392,613.767,866.493,112,55,96.585,0.872,0.762,
100,611.84,863.842,72,41,23.019,0.6,0.318,
116,34.857,46.967,0,0,25.42,1.0,1.0,
389,613.492,866.134,172,84,120.871,0.848,0.773,
82,26.665,35.429,4,2,8.669,0.976,0.963,
358,612.738,865.086,184,111,142.006,0.701,0.383,
400,613.778,866.5,180,103,119.372,0.8,0.692,
202,613.608,866.286,200,102,85.071,0.619,0.42,
364,613.153,865.676,118,61,162.667,0.849,0.781,
